ServiceID,CustomerID,CarModel,ServiceRating,ServiceCost,ComplaintType,ServiceDate
115,2080,Seltos,4,2110,Late Delivery,2023-10-13
116,4605,Alto,5,7409,AC Problem,2024-06-04
117,1823,Seltos,4,10438,Scratches,2022-04-13
118,4619,Ertiga,2,14699,AC Problem,2024-02-09
119,4250,Baleno,1,12812,Engine Noise,2022-05-28
120,3115,Swift,5,14737,Late Delivery,2024-03-29
121,4567,Seltos,1,7741,No Issue,2024-10-06
122,2024,i20,2,12177,Engine Noise,2023-11-01
123,1047,City,1,3444,Scratches,2024-02-08
124,2440,XUV700,4,11671,Late Delivery,2023-02-23
125,4735,Seltos,5,12983,Scratches,2024-02-16
126,1944,Swift,1,6220,Scratches,2023-06-17
127,4268,Ertiga,3,7834,Late Delivery,2024-06-26
128,4641,Creta,5,13180,Scratches,2022-08-16
129,4119,i20,1,4307,No Issue,2024-09-16
130,2976,City,5,2534,No Issue,2022-06-27
131,2983,XUV700,1,10271,High Service Cost,2023-04-13
132,1354,Alto,1,6367,Late Delivery,2023-09-14
133,4305,Harrier,4,7975,Late Delivery,2022-06-05
134,4057,City,1,5636,Late Delivery,2022-09-17
135,1436,Ertiga,3,10593,High Service Cost,2023-01-31
136,1699,Swift,4,5124,AC Problem,2024-07-21
137,2917,XUV700,3,14559,No Issue,2022-09-17
138,3673,Baleno,3,2895,No Issue,2022-09-28
139,1089,Swift,2,8371,Late Delivery,2023-02-16
140,1368,Seltos,3,8077,Scratches,2023-01-28
141,3986,i20,1,5763,Engine Noise,2022-07-14
142,2192,XUV700,5,14658,Engine Noise,2023-01-02
143,2386,Swift,4,5896,Late Delivery,2024-06-12
144,4993,Swift,4,4759,Late Delivery,2023-08-17
145,4002,City,4,4239,No Issue,2023-07-16
146,2896,Baleno,5,11171,No Issue,2023-06-21
147,4248,Ertiga,3,5094,Scratches,2023-07-26
148,3547,Seltos,2,11767,No Issue,2022-11-04
149,1703,Harrier,1,14173,Engine Noise,2023-08-05
150,3180,Creta,4,3359,Engine Noise,2023-10-28
151,3219,Swift,1,3553,No Issue,2023-07-14
152,2553,Swift,3,4535,Engine Noise,2023-07-20
153,3810,Ertiga,2,10178,AC Problem,2022-10-04
154,3488,Seltos,4,11379,Engine Noise,2023-04-07
155,4032,Creta,3,6067,Engine Noise,2023-09-14
156,1111,Alto,2,3383,Engine Noise,2022-01-15
157,2063,Swift,4,13432,High Service Cost,2022-02-11
158,1101,Creta,3,9680,Late Delivery,2022-01-20
159,2392,Seltos,1,4395,Scratches,2023-10-09
160,2197,i20,5,6861,High Service Cost,2023-08-30
161,4897,Ertiga,4,5283,Scratches,2022-04-03
162,1340,Creta,2,3908,High Service Cost,2022-03-22
163,1919,Seltos,2,12816,High Service Cost,2023-10-20
164,2947,Alto,5,12769,Scratches,2023-05-10
165,3861,XUV700,5,5161,Late Delivery,2022-01-26
166,1195,Ertiga,3,11229,No Issue,2023-10-18
167,2607,Creta,5,2018,High Service Cost,2023-04-01
168,2205,Creta,4,7201,Late Delivery,2022-11-10
169,4824,Harrier,5,7880,No Issue,2022-12-18
170,2824,Ertiga,4,10812,Scratches,2024-07-11
171,4394,Swift,1,9686,High Service Cost,2022-10-30
172,2136,Swift,5,7951,No Issue,2022-11-23
173,4923,Baleno,1,7382,Late Delivery,2022-05-03
174,2698,i20,2,13803,No Issue,2022-06-27
175,2574,Creta,5,14123,Scratches,2024-10-28
176,4306,XUV700,2,11705,No Issue,2022-01-02
177,1504,Alto,1,4384,Engine Noise,2023-07-02
178,2966,Creta,2,4333,High Service Cost,2023-09-23
179,4142,XUV700,1,6349,Late Delivery,2023-04-27
180,3266,XUV700,3,4644,AC Problem,2023-07-25
181,2540,Baleno,1,13748,Late Delivery,2023-11-23
182,2776,Alto,3,9368,High Service Cost,2022-08-09
183,3212,Creta,2,11493,High Service Cost,2022-02-18
184,4584,Harrier,1,13598,Engine Noise,2024-08-09
185,3428,Baleno,3,13473,Engine Noise,2022-12-26
186,2207,Ertiga,1,10829,Late Delivery,2024-01-22
187,2926,Baleno,4,3263,AC Problem,2023-10-02
188,3416,Baleno,4,2918,No Issue,2022-04-03
189,4519,i20,2,6915,AC Problem,2023-11-22
190,3055,Creta,4,2680,High Service Cost,2023-06-23
191,4691,Creta,5,13055,Engine Noise,2023-10-01
192,2405,City,3,2472,Engine Noise,2022-04-08
193,4453,Baleno,5,11984,Engine Noise,2023-02-22
194,3013,Alto,4,10032,No Issue,2022-10-27
195,1447,Alto,2,9929,Late Delivery,2023-07-14
196,2720,Harrier,5,12935,AC Problem,2024-02-23
197,4867,XUV700,2,6324,Late Delivery,2024-03-25
198,2177,XUV700,1,7958,Engine Noise,2022-04-20
199,1033,Creta,5,13671,No Issue,2023-06-11
200,1496,i20,1,5470,No Issue,2023-05-19
201,3911,Alto,5,9370,Late Delivery,2023-08-29
202,3069,Seltos,3,11899,High Service Cost,2022-08-07
203,2403,City,2,13856,Engine Noise,2022-05-09
204,4219,i20,1,6144,No Issue,2023-08-27
205,4981,Seltos,4,6822,High Service Cost,2023-07-09
206,3710,XUV700,5,7808,Scratches,2024-02-21
207,2602,Ertiga,1,5011,AC Problem,2023-04-27
208,2938,Swift,5,13358,Engine Noise,2022-09-05
209,1589,Swift,5,12357,AC Problem,2024-08-01
210,4815,Seltos,5,14897,Scratches,2022-04-02
211,2574,i20,1,3097,Late Delivery,2023-06-13
212,1676,XUV700,1,14324,Late Delivery,2023-05-29
213,2122,Swift,5,13593,AC Problem,2023-03-16
214,4712,Creta,4,11641,Late Delivery,2024-04-12
215,3042,Seltos,2,14474,AC Problem,2023-03-15
216,4602,City,5,9551,No Issue,2023-09-23
217,3318,Baleno,4,12698,No Issue,2023-09-21
218,3008,Ertiga,2,13230,High Service Cost,2024-08-26
219,1000,Creta,5,10969,Scratches,2024-07-20
220,3334,Seltos,2,11524,Late Delivery,2024-10-29
221,3020,Seltos,5,3449,Late Delivery,2022-05-22
222,4251,Swift,1,13655,No Issue,2024-07-13
223,1938,Alto,5,7450,No Issue,2023-12-06
224,2279,Alto,5,4899,No Issue,2024-07-12
225,4245,Baleno,5,6503,Engine Noise,2022-10-15
226,1853,Swift,5,6166,Scratches,2022-09-24
227,1049,Alto,4,7563,Scratches,2024-07-15
228,2555,Alto,3,12388,Engine Noise,2022-08-13
229,3664,Harrier,4,3460,Late Delivery,2024-08-22
230,3237,City,4,7381,AC Problem,2022-06-18
231,2774,City,1,14062,AC Problem,2022-11-19
232,4114,Baleno,5,11572,High Service Cost,2022-04-05
233,4588,XUV700,4,13148,High Service Cost,2022-12-28
234,3807,Alto,2,11520,Late Delivery,2024-08-16
235,1065,Alto,5,9710,High Service Cost,2023-11-01
236,3443,Ertiga,1,8298,No Issue,2023-05-26
237,2274,Baleno,1,11331,Scratches,2022-09-24
238,1127,City,2,9092,AC Problem,2024-03-10
239,3744,Baleno,1,5122,No Issue,2022-05-13
240,1187,Alto,5,3095,High Service Cost,2022-12-15
241,2206,Swift,3,14186,High Service Cost,2023-07-01
242,2606,Alto,3,11855,Scratches,2024-02-02
243,1577,Alto,4,7031,AC Problem,2022-09-25
244,3888,XUV700,1,13000,No Issue,2024-10-02
245,1761,i20,5,13065,Scratches,2022-09-23
246,1666,i20,2,14430,AC Problem,2022-06-19
247,4483,Alto,2,11382,High Service Cost,2022-04-27
248,1932,Alto,5,5141,AC Problem,2023-03-10
249,3126,XUV700,5,7087,Scratches,2022-03-29
250,2042,Swift,2,7117,Scratches,2024-08-21
251,4549,Ertiga,1,13783,High Service Cost,2022-08-22
252,2970,i20,4,11378,Scratches,2023-09-01
253,4852,Ertiga,4,11790,No Issue,2023-06-14
254,1044,Baleno,4,5358,High Service Cost,2022-08-26
255,4845,Creta,5,8057,Scratches,2022-12-30
256,2245,Swift,2,7463,Late Delivery,2023-02-13
257,3176,Alto,2,13516,No Issue,2024-09-29
258,1617,Baleno,2,10897,No Issue,2022-08-06
259,1762,Swift,2,5880,No Issue,2023-02-07
260,2656,Ertiga,2,14544,AC Problem,2022-12-11
261,4301,Ertiga,3,4889,Engine Noise,2023-04-29
262,1792,i20,5,11721,High Service Cost,2022-04-23
263,2250,XUV700,5,9921,Engine Noise,2022-08-07
264,4993,Ertiga,3,9638,Scratches,2022-06-10
265,3444,Alto,4,9456,High Service Cost,2024-10-27
266,3322,Baleno,1,14907,AC Problem,2024-10-21
267,1137,Seltos,5,14155,No Issue,2022-04-09
268,4244,Creta,5,3848,No Issue,2023-08-22
269,2350,City,3,5576,AC Problem,2022-11-11
270,3830,Harrier,5,11738,No Issue,2022-08-14
271,3262,City,5,5801,No Issue,2023-04-24
272,3275,City,4,7869,Scratches,2023-05-06
273,3154,City,3,12798,Late Delivery,2022-08-11
274,3206,XUV700,5,14225,AC Problem,2023-06-04
275,2917,Alto,2,2344,High Service Cost,2022-08-31
276,2159,Baleno,3,4426,Late Delivery,2022-03-29
277,4834,Ertiga,4,6227,AC Problem,2024-09-09
278,3077,Swift,1,3234,High Service Cost,2023-04-25
279,2121,Alto,5,6812,AC Problem,2022-11-05
280,1608,Creta,2,11810,No Issue,2023-10-17
281,1768,XUV700,2,6172,AC Problem,2023-06-24
282,1783,XUV700,1,11355,Engine Noise,2022-03-31
283,3929,Swift,3,13391,Scratches,2024-10-06
284,4594,Seltos,4,7028,High Service Cost,2022-11-09
285,3970,City,5,10945,No Issue,2022-06-29
286,3389,XUV700,5,3590,Engine Noise,2023-07-03
287,1167,Ertiga,5,14354,No Issue,2022-01-02
288,4282,Ertiga,2,6567,Scratches,2022-08-14
289,1683,Baleno,3,14438,Engine Noise,2024-08-14
290,4909,Ertiga,1,14291,AC Problem,2022-12-30
291,3679,XUV700,3,5089,High Service Cost,2024-06-03
292,4256,Ertiga,4,12763,AC Problem,2024-08-07
293,3479,Ertiga,4,6351,High Service Cost,2022-04-26
294,4495,Creta,1,13298,AC Problem,2022-04-24
295,1038,Alto,2,14877,High Service Cost,2023-08-18
296,1979,Creta,1,12078,High Service Cost,2023-04-24
297,3434,i20,4,14610,Engine Noise,2023-12-21
298,3816,City,2,14740,Scratches,2022-04-17
299,1790,Alto,3,14095,Engine Noise,2022-11-11
300,1741,Baleno,4,13100,High Service Cost,2022-03-16
301,2474,Creta,2,6454,Scratches,2023-11-13
302,4186,Harrier,2,8195,Late Delivery,2022-07-06
303,3448,City,5,8866,Late Delivery,2022-12-05
304,4375,City,3,7858,AC Problem,2024-04-04
305,4674,Alto,2,6128,Engine Noise,2022-02-22
306,4380,Creta,1,11543,High Service Cost,2022-09-14
307,4644,Seltos,3,2435,AC Problem,2022-02-15
308,2126,i20,3,9140,Late Delivery,2022-01-15
309,2750,XUV700,4,5490,Late Delivery,2024-04-28
310,1101,Harrier,3,14179,No Issue,2023-09-20
311,2930,Creta,3,6944,No Issue,2022-01-12
312,1654,Baleno,5,4860,AC Problem,2022-01-01
313,4161,Creta,3,14364,AC Problem,2022-03-18
314,4189,Alto,2,8723,Scratches,2023-06-26
315,4210,Harrier,1,3073,Scratches,2024-09-22
316,3950,XUV700,5,12681,High Service Cost,2024-06-20
317,2326,i20,5,10861,Late Delivery,2024-04-20
318,1751,Baleno,5,7317,Engine Noise,2022-02-19
319,4719,Baleno,5,10654,Engine Noise,2024-10-26
320,2540,City,4,2376,No Issue,2022-03-16
321,2232,Alto,5,4593,Scratches,2022-12-12
322,3134,Alto,4,2435,High Service Cost,2022-11-29
323,2985,Swift,4,11212,No Issue,2023-11-09
324,1858,Swift,3,10915,No Issue,2024-04-23
325,1318,Ertiga,1,7391,High Service Cost,2024-04-30
326,4860,Harrier,3,4939,High Service Cost,2022-09-25
327,1966,XUV700,4,9743,AC Problem,2024-01-26
328,3934,Alto,3,12394,Late Delivery,2023-08-22
329,1632,Creta,2,10182,High Service Cost,2023-09-04
330,4316,Creta,5,14556,High Service Cost,2023-11-29
331,4941,Creta,5,5623,No Issue,2022-10-05
332,2113,Swift,4,4207,No Issue,2023-11-16
333,4549,Creta,3,7495,Engine Noise,2022-11-14
334,3699,Baleno,2,6215,AC Problem,2024-06-23
335,4183,XUV700,2,13577,Engine Noise,2022-05-23
336,4978,City,2,8491,Engine Noise,2022-06-03
337,1949,City,4,4093,High Service Cost,2023-01-13
338,3000,i20,3,4516,Late Delivery,2024-01-31
339,2417,Alto,2,13645,No Issue,2023-06-18
340,2910,Swift,2,4669,Scratches,2023-09-29
341,1239,Baleno,3,7490,Late Delivery,2024-04-05
342,4343,Baleno,3,7099,AC Problem,2023-11-24
343,3190,Harrier,5,14218,Scratches,2024-02-26
344,4001,Harrier,1,3144,AC Problem,2022-06-11
345,2742,i20,1,5008,High Service Cost,2023-04-11
346,1118,XUV700,2,3312,AC Problem,2022-10-05
347,1595,Seltos,3,12751,Scratches,2023-04-17
348,4971,Ertiga,5,5629,AC Problem,2022-05-21
349,3015,XUV700,4,9505,AC Problem,2024-03-20
350,2274,Creta,1,8524,Engine Noise,2024-04-13
351,4349,Creta,1,14853,AC Problem,2023-12-04
352,1162,Ertiga,3,9555,No Issue,2022-06-19
353,1653,Ertiga,4,10049,Late Delivery,2022-08-07
354,1349,Alto,1,11219,Engine Noise,2022-02-03
355,1030,City,5,14278,No Issue,2022-10-12
356,3505,Swift,1,3936,AC Problem,2022-09-22
357,4909,Creta,3,6847,Engine Noise,2024-05-02
358,3138,Alto,3,3615,Late Delivery,2022-01-07
359,3175,Seltos,4,6296,High Service Cost,2022-01-23
360,3826,Seltos,1,8105,Scratches,2023-06-19
361,4619,Swift,4,14543,High Service Cost,2022-03-10
362,1969,i20,1,10390,AC Problem,2022-01-13
363,1847,City,2,4120,AC Problem,2022-09-15
364,1791,Seltos,1,11142,Scratches,2023-12-21
365,4796,Swift,3,4735,Scratches,2024-08-05
366,1508,City,3,12458,AC Problem,2023-10-07
367,3983,i20,2,11951,Late Delivery,2023-02-18
368,1744,Alto,1,11648,Late Delivery,2023-10-27
369,1739,Alto,1,2406,High Service Cost,2024-01-06
370,2904,Baleno,3,10986,No Issue,2023-03-16
371,4881,Swift,2,13032,No Issue,2022-04-19
372,3038,Harrier,3,3116,High Service Cost,2023-03-06
373,1236,Alto,2,7783,Scratches,2022-12-12
374,3006,Creta,3,3103,Late Delivery,2023-01-16
375,2556,i20,5,8351,High Service Cost,2023-07-28
376,4679,Creta,1,6187,No Issue,2024-02-14
377,2012,i20,4,4579,Scratches,2022-06-07
378,4024,i20,5,4130,No Issue,2023-09-15
379,4070,Ertiga,3,14697,Scratches,2023-07-04
380,2074,XUV700,2,12683,No Issue,2023-12-25
381,2872,Swift,4,12369,AC Problem,2023-10-11
382,2846,Harrier,2,6866,Engine Noise,2023-11-01
383,1468,Ertiga,2,5942,Scratches,2022-05-14
384,2915,Baleno,1,6279,Scratches,2023-12-02
385,1387,Ertiga,3,4712,Scratches,2023-08-14
386,4133,i20,1,2364,Engine Noise,2022-07-25
387,2366,Creta,2,10387,Engine Noise,2022-05-28
388,4224,XUV700,1,14497,No Issue,2023-05-23
389,1735,Harrier,5,14422,Late Delivery,2023-06-14
390,1653,XUV700,2,7503,AC Problem,2022-07-10
391,3088,XUV700,2,14881,No Issue,2023-02-10
392,2509,Harrier,5,5654,Scratches,2022-03-29
393,1952,Swift,2,6599,Scratches,2023-08-30
394,4749,City,4,14764,AC Problem,2022-10-01
395,2725,City,4,7416,No Issue,2024-09-20
396,3856,City,3,14731,High Service Cost,2022-03-02
397,2580,XUV700,3,12923,Late Delivery,2022-03-23
398,4791,Alto,1,12362,Engine Noise,2024-06-02
399,1381,Baleno,1,3985,Late Delivery,2023-06-20
400,1095,Baleno,5,12733,High Service Cost,2023-11-03
401,1911,Baleno,5,14182,No Issue,2024-06-17
402,1786,Ertiga,2,14677,No Issue,2022-04-18
403,1292,Alto,3,12302,Scratches,2024-10-18
404,4306,Creta,3,14157,AC Problem,2023-01-31
405,1340,i20,3,13672,No Issue,2024-08-16
406,1718,Ertiga,3,4567,High Service Cost,2023-06-13
407,4004,Ertiga,1,6340,No Issue,2022-11-30
408,3585,Ertiga,4,8308,No Issue,2022-08-15
409,2373,City,5,10153,High Service Cost,2022-11-17
410,3919,Seltos,5,6379,Engine Noise,2022-12-08
411,4278,Alto,3,14084,Late Delivery,2022-01-18
412,1959,Swift,3,3911,No Issue,2023-09-25
413,4562,City,1,2710,Late Delivery,2023-05-08
414,3428,i20,1,6090,Late Delivery,2024-03-22
415,4212,Baleno,5,7243,Scratches,2022-09-27
416,3906,Harrier,3,3590,Engine Noise,2024-09-25
417,3646,Seltos,3,14942,Late Delivery,2022-05-15
418,3977,Seltos,5,3340,Scratches,2023-05-27
419,2914,Ertiga,1,2821,High Service Cost,2023-02-05
420,4681,Swift,5,12436,High Service Cost,2023-10-07
421,4094,i20,1,14572,High Service Cost,2022-03-20
422,3809,Baleno,1,3616,AC Problem,2023-09-13
423,3411,i20,1,13372,AC Problem,2022-06-16
424,4833,Harrier,3,14058,High Service Cost,2023-11-16
425,4219,Creta,5,14402,High Service Cost,2024-04-24
426,3613,Seltos,1,2752,Scratches,2023-04-06
427,1968,Baleno,4,12123,Engine Noise,2024-03-10
428,3874,Harrier,1,9037,Engine Noise,2024-02-11
429,2939,Ertiga,1,12745,Scratches,2022-06-23
430,3030,Alto,1,8934,Scratches,2023-08-10
431,2574,Alto,2,9985,AC Problem,2023-07-08
432,1504,Ertiga,4,10522,No Issue,2022-06-16
433,2869,XUV700,3,5043,Late Delivery,2022-07-17
434,3032,Swift,5,9371,AC Problem,2023-03-16
435,3265,Baleno,5,10023,AC Problem,2023-07-13
436,2882,Harrier,5,14241,High Service Cost,2023-05-29
437,3529,Creta,3,10858,AC Problem,2024-05-05
438,4487,i20,1,5386,AC Problem,2023-02-18
439,3984,Swift,4,8408,Late Delivery,2023-05-06
440,3796,XUV700,5,9456,No Issue,2023-06-26
441,2348,Baleno,2,6677,Engine Noise,2022-09-08
442,1835,Swift,2,10882,High Service Cost,2024-01-23
443,4926,Baleno,4,3703,AC Problem,2023-11-15
444,4860,XUV700,5,5077,AC Problem,2022-09-02
445,4808,City,1,8787,Engine Noise,2023-05-03
446,1488,Alto,5,14569,Scratches,2022-02-05
447,2431,Ertiga,1,4337,Late Delivery,2023-01-04
448,4215,Creta,5,4252,Engine Noise,2024-08-16
449,3847,XUV700,2,7678,No Issue,2022-09-15
450,3258,Seltos,3,4951,Engine Noise,2023-05-16
451,3713,Harrier,4,12571,High Service Cost,2023-10-16
452,1258,City,1,9815,High Service Cost,2023-12-21
453,2250,City,3,11448,Late Delivery,2023-04-24
454,3022,XUV700,1,7833,Scratches,2022-08-28
455,2617,Creta,4,10223,AC Problem,2023-01-03
456,4960,Creta,3,10383,High Service Cost,2024-09-08
457,3419,Swift,3,6502,No Issue,2022-05-29
458,2414,XUV700,4,12842,Late Delivery,2024-01-02
459,1991,Baleno,4,10024,High Service Cost,2023-02-05
460,3135,Harrier,1,7702,No Issue,2023-08-17
461,1399,Harrier,3,4082,AC Problem,2022-10-15
462,1308,Harrier,4,5969,Engine Noise,2022-05-14
463,1003,Seltos,1,7339,AC Problem,2022-08-13
464,2196,Harrier,5,7737,No Issue,2023-09-29
465,2567,City,4,8119,AC Problem,2023-08-31
466,4817,XUV700,3,4379,Late Delivery,2024-04-28
467,3273,Ertiga,5,9163,High Service Cost,2024-06-18
468,3386,Harrier,4,14304,Scratches,2024-04-05
469,2229,i20,2,11045,Scratches,2024-07-06
470,2125,Alto,3,4056,No Issue,2023-02-15
471,3105,City,3,8323,No Issue,2023-01-09
472,2804,City,1,8146,No Issue,2022-03-26
473,2173,Harrier,2,11493,High Service Cost,2022-03-25
474,4323,City,4,3827,Scratches,2023-04-27
475,4550,Baleno,2,6262,Scratches,2022-09-29
476,3603,Alto,4,7393,Late Delivery,2022-01-06
477,4499,XUV700,1,3616,Late Delivery,2023-06-03
478,2565,i20,5,14314,Engine Noise,2022-01-14
479,1918,i20,2,10309,High Service Cost,2024-10-23
480,1523,Swift,3,12978,No Issue,2024-03-27
481,4562,Baleno,4,4399,Late Delivery,2023-05-02
482,1525,Creta,2,8796,Engine Noise,2024-03-07
483,2315,Harrier,4,11488,Engine Noise,2023-05-02
484,4116,City,2,2316,Scratches,2024-07-25
485,4271,i20,3,7521,High Service Cost,2023-02-10
486,1023,Alto,4,13792,High Service Cost,2023-04-08
487,3810,Ertiga,4,3719,AC Problem,2022-05-12
488,2654,City,5,11263,No Issue,2023-05-21
489,4458,Harrier,1,11231,High Service Cost,2023-09-25
490,2613,Ertiga,2,11685,AC Problem,2022-08-24
491,4506,Creta,3,5776,No Issue,2022-01-23
492,1241,XUV700,5,3306,High Service Cost,2023-09-06
493,1202,Ertiga,5,4061,Scratches,2023-03-28
494,1236,Baleno,1,11563,AC Problem,2022-10-01
495,1950,Seltos,3,10558,Engine Noise,2024-10-21
496,4069,Baleno,2,14515,High Service Cost,2023-10-23
497,1293,Harrier,4,11843,High Service Cost,2022-06-15
498,4419,Seltos,1,13636,Scratches,2023-02-14
499,2110,i20,4,14081,Late Delivery,2022-10-24
500,1209,XUV700,5,2735,No Issue,2024-07-25
501,1787,i20,4,13804,Late Delivery,2024-09-29
502,2632,Seltos,2,14240,Engine Noise,2022-04-06
503,4073,i20,2,5476,Late Delivery,2023-07-25
504,3276,Swift,4,5131,Engine Noise,2024-06-18
505,1409,i20,4,2866,No Issue,2022-05-21
506,4314,City,1,10851,Scratches,2023-07-17
507,3817,XUV700,2,5123,Engine Noise,2024-10-10
